     #Energy   up_Fe_dz2   dw_Fe_dz2
   -19.34231     0.00000    -0.00000
   -19.32831     0.00000    -0.00000
   -19.31531     0.00000    -0.00000
   -19.30131     0.00000    -0.00000
   -19.28831     0.00000    -0.00000
   -19.27431     0.00000    -0.00000
   -19.26131     0.00000    -0.00000
   -19.24731     0.00000    -0.00000
   -19.23431     0.00000    -0.00000
   -19.22031     0.00000    -0.00000
   -19.20731     0.00000    -0.00000
   -19.19431     0.00000    -0.00000
   -19.18031     0.00000     0.00000
   -19.16731     0.00000     0.00000
   -19.15331     0.00000     0.00000
   -19.14031     0.00000     0.00000
   -19.12631     0.00000     0.00000
   -19.11331     0.00000     0.00000
   -19.09931     0.00000     0.00000
   -19.08631     0.00000     0.00000
   -19.07231     0.00000     0.00000
   -19.05931     0.00000     0.00000
   -19.04531     0.00000     0.00000
   -19.03231     0.00000     0.00000
   -19.01931     0.00000     0.00000
   -19.00531     0.00000     0.00000
   -18.99231     0.00000     0.00000
   -18.97831     0.00000     0.00000
   -18.96531     0.00000     0.00000
   -18.95131     0.00000     0.00000
   -18.93831     0.00000     0.00000
   -18.92431     0.00000     0.00000
   -18.91131     0.00000     0.00000
   -18.89731     0.00000     0.00000
   -18.88431     0.00000     0.00000
   -18.87131     0.00000     0.00000
   -18.85731     0.00000     0.00000
   -18.84431     0.00000     0.00000
   -18.83031     0.00000     0.00000
   -18.81731     0.00000     0.00000
   -18.80331     0.00000     0.00000
   -18.79031     0.00000     0.00000
   -18.77631     0.00000     0.00000
   -18.76331     0.00000     0.00000
   -18.74931     0.00000     0.00000
   -18.73631     0.00000     0.00000
   -18.72231     0.00000     0.00000
   -18.70931     0.00000     0.00000
   -18.69631     0.00000     0.00000
   -18.68231     0.00000     0.00000
   -18.66931     0.00000     0.00000
   -18.65531     0.00000     0.00000
   -18.64231     0.00000     0.00000
   -18.62831     0.00000     0.00000
   -18.61531     0.00000     0.00000
   -18.60131     0.00000     0.00000
   -18.58831     0.00000     0.00000
   -18.57431     0.00000     0.00000
   -18.56131     0.00000     0.00000
   -18.54731     0.00000     0.00000
   -18.53431     0.00000     0.00000
   -18.52131     0.00000     0.00000
   -18.50731     0.00000     0.00000
   -18.49431     0.00000     0.00000
   -18.48031     0.00000     0.00000
   -18.46731     0.00000     0.00000
   -18.45331     0.00000     0.00000
   -18.44031     0.00000     0.00000
   -18.42631     0.00000     0.00000
   -18.41331     0.00000    -0.00000
   -18.39931     0.00000    -0.00000
   -18.38631     0.00000    -0.00000
   -18.37231     0.00000    -0.00000
   -18.35931     0.00000    -0.00000
   -18.34631     0.00000    -0.00000
   -18.33231     0.00000    -0.00000
   -18.31931     0.00000    -0.00000
   -18.30531     0.00003    -0.00002
   -18.29231     0.00020    -0.00013
   -18.27831     0.00090    -0.00059
   -18.26531     0.00281    -0.00185
   -18.25131     0.00594    -0.00393
   -18.23831     0.00850    -0.00566
   -18.22431     0.00825    -0.00552
   -18.21131     0.00542    -0.00364
   -18.19831     0.00241    -0.00163
   -18.18431     0.00073    -0.00049
   -18.17131     0.00015    -0.00010
   -18.15731     0.00002    -0.00001
   -18.14431     0.00000    -0.00000
   -18.13031     0.00000    -0.00000
   -18.11731     0.00000    -0.00000
   -18.10331     0.00000    -0.00000
   -18.09031     0.00000    -0.00000
   -18.07631     0.00000    -0.00000
   -18.06331     0.00000    -0.00000
   -18.04931     0.00000     0.00000
   -18.03631     0.00000     0.00000
   -18.02331     0.00000     0.00000
   -18.00931     0.00000    -0.00000
   -17.99631     0.00000    -0.00000
   -17.98231     0.00000    -0.00000
   -17.96931     0.00000    -0.00000
   -17.95531     0.00000    -0.00000
   -17.94231     0.00000    -0.00000
   -17.92831     0.00000    -0.00000
   -17.91531     0.00000    -0.00000
   -17.90131     0.00000    -0.00000
   -17.88831     0.00000    -0.00000
   -17.87431     0.00000    -0.00000
   -17.86131     0.00000    -0.00000
   -17.84831     0.00000    -0.00000
   -17.83431     0.00000    -0.00000
   -17.82131     0.00000    -0.00000
   -17.80731     0.00000    -0.00000
   -17.79431     0.00000    -0.00000
   -17.78031     0.00000    -0.00000
   -17.76731     0.00000    -0.00000
   -17.75331     0.00000    -0.00000
   -17.74031     0.00000    -0.00000
   -17.72631     0.00000    -0.00000
   -17.71331     0.00000    -0.00000
   -17.69931     0.00000    -0.00000
   -17.68631     0.00000    -0.00000
   -17.67331     0.00000    -0.00000
   -17.65931     0.00000    -0.00000
   -17.64631     0.00000    -0.00000
   -17.63231     0.00000    -0.00000
   -17.61931     0.00000    -0.00000
   -17.60531     0.00000    -0.00000
   -17.59231     0.00000    -0.00000
   -17.57831     0.00000    -0.00000
   -17.56531     0.00000    -0.00000
   -17.55131     0.00001    -0.00002
